trade_seq,trade_id,timestamp,tick_direction,price,mark_price,iv,instrument_name,index_price,direction,contracts,amount,combo_trade_id,combo_id,block_trade_leg_count,block_trade_id,liquidation,block_rfq_id,unix_sec
314,ETH-252271312,1748657650763,0,0.0255,0.025542,69.82,ETH-25JUL25-2000-P,2508.49,buy,4.0,4.0,,,,,,,1748657650.763
315,ETH-252283544,1748668462863,2,0.0245,0.025137,69.62,ETH-25JUL25-2000-P,2519.25,sell,200.0,200.0,,,,,,,1748668462.863
316,ETH-252292519,1748679605718,3,0.0245,0.025311,69.66,ETH-25JUL25-2000-P,2519.72,sell,1.0,1.0,,,,,,,1748679605.718
317,ETH-252325972,1748699778190,2,0.0235,0.024061,69.65,ETH-25JUL25-2000-P,2531.82,sell,5.0,5.0,,,,,,,1748699778.19
318,ETH-252470242,1748830165150,0,0.0245,0.024845,70.85,ETH-25JUL25-2000-P,2521.45,buy,2.0,2.0,,,,,,,1748830165.15
319,ETH-252472606,1748832654727,0,0.0255,0.025412,71.13,ETH-25JUL25-2000-P,2510.86,buy,2.0,2.0,,,,,,,1748832654.727
320,ETH-252485883,1748843897543,0,0.026,0.02576,70.29,ETH-25JUL25-2000-P,2492.98,sell,1.0,1.0,,,,,,,1748843897.543
321,ETH-252527374,1748871908468,2,0.024,0.023983,69.95,ETH-25JUL25-2000-P,2514.0,sell,3.0,3.0,,,,,,,1748871908.468
322,ETH-252567046,1748888695097,2,0.021,0.02092,70.14,ETH-25JUL25-2000-P,2561.89,sell,1.0,1.0,,,,,,,1748888695.097
323,ETH-252612353,1748909564808,2,0.0185,0.018405,71.21,ETH-25JUL25-2000-P,2616.77,buy,1.0,1.0,,,,,,,1748909564.808
324,ETH-252630867,1748925542456,0,0.0195,0.019423,71.22,ETH-25JUL25-2000-P,2596.78,buy,1.0,1.0,,,,,,,1748925542.456
325,ETH-252644051,1748941105839,2,0.0185,0.018705,70.92,ETH-25JUL25-2000-P,2609.59,sell,62.0,62.0,,,,,,,1748941105.839
326,ETH-252645615,1748943089541,3,0.0185,0.018794,70.64,ETH-25JUL25-2000-P,2605.75,sell,62.0,62.0,,,,,,,1748943089.541
327,ETH-252645623,1748943091252,3,0.0185,0.018793,70.65,ETH-25JUL25-2000-P,2605.82,sell,62.0,62.0,,,,,,,1748943091.252
328,ETH-252645624,1748943091827,3,0.0185,0.018792,70.65,ETH-25JUL25-2000-P,2605.84,sell,2.0,2.0,,,,,,,1748943091.827
329,ETH-252667725,1748959872962,2,0.0175,0.017572,70.41,ETH-25JUL25-2000-P,2619.02,buy,1.0,1.0,,,,,,,1748959872.962
330,ETH-252674764,1748963539319,2,0.0165,0.016806,70.43,ETH-25JUL25-2000-P,2638.99,sell,1.0,1.0,,,,,,,1748963539.319
331,ETH-252710253,1748993340750,0,0.0185,0.018486,70.24,ETH-25JUL25-2000-P,2595.31,sell,1.0,1.0,,,,,,,1748993340.75
332,ETH-252714171,1748998399041,2,0.018,0.01809,69.81,ETH-25JUL25-2000-P,2598.63,buy,10.0,10.0,,,,,,,1748998399.041
333,ETH-252720308,1749005371637,3,0.018,0.017536,71.07,ETH-25JUL25-2000-P,2615.28,buy,2.0,2.0,,,,,,,1749005371.637
334,ETH-252756994,1749045111146,2,0.0165,0.016682,69.47,ETH-25JUL25-2000-P,2616.98,buy,2.0,2.0,,,,,,,1749045111.146
335,ETH-252818305,1749093339095,2,0.016,0.01602,69.67,ETH-25JUL25-2000-P,2624.1,buy,2.0,2.0,,,,,,,1749093339.095
336,ETH-252835107,1749112455612,2,0.0155,0.016157,68.21,ETH-25JUL25-2000-P,2610.23,sell,5.0,5.0,,,,,,,1749112455.612
337,ETH-252839130,1749116680443,0,0.016,0.016207,68.77,ETH-25JUL25-2000-P,2608.72,sell,1.0,1.0,,,,,,,1749116680.443
338,ETH-252839535,1749117146527,1,0.016,0.016258,68.74,ETH-25JUL25-2000-P,2608.09,sell,1.0,1.0,,,,,,,1749117146.527
339,ETH-252918098,1749149218547,0,0.0185,0.018294,69.84,ETH-25JUL25-2000-P,2573.8,buy,1.0,1.0,,,,,,,1749149218.547
340,ETH-252918939,1749150281547,1,0.0185,0.018306,69.88,ETH-25JUL25-2000-P,2574.37,buy,1.0,1.0,,,,,,,1749150281.547
341,ETH-252985069,1749157491653,0,0.0285,0.028633,68.61,ETH-25JUL25-2000-P,2417.32,buy,1.0,1.0,,,,,,,1749157491.653
342,ETH-253018579,1749168960564,0,0.03,0.030148,69.15,ETH-25JUL25-2000-P,2406.08,buy,2.0,2.0,,,,,,,1749168960.564
343,ETH-253027523,1749172819695,2,0.0285,0.028442,69.26,ETH-25JUL25-2000-P,2423.84,buy,1.0,1.0,,,,,,,1749172819.695
344,ETH-253028207,1749173610880,3,0.0285,0.028384,69.27,ETH-25JUL25-2000-P,2423.66,buy,1.0,1.0,,,,,,,1749173610.88
345,ETH-253069237,1749198396988,2,0.0245,0.024458,68.83,ETH-25JUL25-2000-P,2464.98,buy,52.0,52.0,,,,,,,1749198396.988
346,ETH-253102558,1749220245790,2,0.021,0.021704,68.33,ETH-25JUL25-2000-P,2507.67,sell,9.0,9.0,,,,,,,1749220245.79
347,ETH-253102559,1749220246542,3,0.021,0.021707,68.32,ETH-25JUL25-2000-P,2507.54,sell,41.0,41.0,,,,,,,1749220246.542
348,ETH-253102564,1749220248858,3,0.021,0.021718,68.29,ETH-25JUL25-2000-P,2507.25,sell,1.0,1.0,,,,,,,1749220248.858
349,ETH-253118139,1749230787194,0,0.0225,0.022663,68.74,ETH-25JUL25-2000-P,2489.72,buy,2.0,2.0,,,,,,,1749230787.194
351,ETH-253124401,1749240743890,1,0.0225,0.022482,69.27,ETH-25JUL25-2000-P,2494.87,sell,3.0,3.0,,,,,,,1749240743.89
352,ETH-253124402,1749240743890,1,0.0225,0.022482,69.27,ETH-25JUL25-2000-P,2494.87,sell,202.0,202.0,,,,,,,1749240743.89
350,ETH-253124400,1749240743890,1,0.0225,0.022482,69.27,ETH-25JUL25-2000-P,2494.87,sell,4.0,4.0,,,,,,,1749240743.89
353,ETH-253129814,1749250337356,2,0.022,0.022616,67.88,ETH-25JUL25-2000-P,2484.76,sell,3.0,3.0,,,,,,,1749250337.356
354,ETH-253132587,1749255106650,0,0.023,0.023375,67.8,ETH-25JUL25-2000-P,2469.51,buy,2.0,2.0,,,,,,,1749255106.65
355,ETH-253154494,1749292573313,2,0.021,0.0208,67.76,ETH-25JUL25-2000-P,2493.95,buy,1.0,1.0,,,,,,,1749292573.313
356,ETH-253166129,1749306251878,3,0.021,0.021069,69.26,ETH-25JUL25-2000-P,2509.29,sell,1.0,1.0,,,,,,,1749306251.878
357,ETH-253174417,1749316111492,3,0.021,0.02087,69.62,ETH-25JUL25-2000-P,2513.72,buy,1.0,1.0,,,,,,,1749316111.492
358,ETH-253203816,1749379461801,0,0.0215,0.020994,69.85,ETH-25JUL25-2000-P,2502.36,buy,1.0,1.0,,,,,,,1749379461.801
359,ETH-253206357,1749383510840,2,0.02,0.020238,69.1,ETH-25JUL25-2000-P,2515.65,buy,1.0,1.0,,,,,,,1749383510.84
360,ETH-253207722,1749386390552,0,0.0215,0.020982,70.06,ETH-25JUL25-2000-P,2504.0,buy,1.0,1.0,,,,,,,1749386390.552
361,ETH-253212799,1749396718470,2,0.02,0.02012,69.29,ETH-25JUL25-2000-P,2516.53,buy,4.0,4.0,,,,,,,1749396718.47
362,ETH-253226067,1749421299270,3,0.02,0.019977,70.25,ETH-25JUL25-2000-P,2526.12,buy,1.0,1.0,,,,,,,1749421299.27
363,ETH-253226072,1749421336174,3,0.02,0.020025,70.21,ETH-25JUL25-2000-P,2525.54,sell,1.0,1.0,,,,,,,1749421336.174
364,ETH-253247969,1749447822395,0,0.0215,0.021485,68.88,ETH-25JUL25-2000-P,2485.08,sell,161.0,161.0,,,,,,,1749447822.395
365,ETH-253248229,1749448363837,0,0.022,0.02181,69.39,ETH-25JUL25-2000-P,2483.71,buy,2.0,2.0,,,,,,,1749448363.837
367,ETH-253248231,1749448363837,1,0.022,0.02181,69.39,ETH-25JUL25-2000-P,2483.71,buy,39.0,39.0,,,,,,,1749448363.837
366,ETH-253248230,1749448363837,1,0.022,0.02181,69.39,ETH-25JUL25-2000-P,2483.71,buy,1.0,1.0,,,,,,,1749448363.837
368,ETH-253248233,1749448364028,1,0.022,0.02181,69.39,ETH-25JUL25-2000-P,2483.71,buy,4.0,4.0,,,,,,,1749448364.028
369,ETH-253248235,1749448364224,1,0.022,0.021812,69.39,ETH-25JUL25-2000-P,2483.77,buy,3.0,3.0,,,,,,,1749448364.224
370,ETH-253250332,1749453313473,2,0.0205,0.020875,68.08,ETH-25JUL25-2000-P,2489.59,sell,1.0,1.0,,,,,,,1749453313.473
371,ETH-253250699,1749454225751,0,0.021,0.020742,68.55,ETH-25JUL25-2000-P,2487.68,buy,1.0,1.0,,,,,,,1749454225.751
372,ETH-253254729,1749458646305,1,0.021,0.020629,68.91,ETH-25JUL25-2000-P,2491.78,buy,1.0,1.0,,,,,,,1749458646.305
373,ETH-253256308,1749461403948,2,0.0205,0.020513,68.95,ETH-25JUL25-2000-P,2499.53,sell,49.0,49.0,,,,,,,1749461403.948
374,ETH-253257114,1749462215891,2,0.02,0.019975,69.23,ETH-25JUL25-2000-P,2510.54,sell,50.0,50.0,,,,,,,1749462215.891
375,ETH-253338234,1749503046429,2,0.016,0.015723,71.21,ETH-25JUL25-2000-P,2599.8,sell,5.0,5.0,,,,,,,1749503046.429
376,ETH-253390462,1749522939423,2,0.013,0.012799,73.35,ETH-25JUL25-2000-P,2692.37,buy,1.0,1.0,,,,,,,1749522939.423
377,ETH-253390476,1749522971090,3,0.013,0.012821,73.3,ETH-25JUL25-2000-P,2691.77,buy,1.0,1.0,,,,,,,1749522971.09
378,ETH-253390545,1749523014524,3,0.013,0.012801,73.35,ETH-25JUL25-2000-P,2692.4,buy,1.0,1.0,,,,,,,1749523014.524
379,ETH-253423140,1749549983423,2,0.0127,0.012698,73.22,ETH-25JUL25-2000-P,2694.22,sell,1.0,1.0,ETH-253423138,ETH-ICOND-25JUL25-2000_2200_3200_3500,,,,,1749549983.423
380,ETH-253438085,1749555680599,2,0.0115,0.011122,76.99,ETH-25JUL25-2000-P,2780.94,buy,1.0,1.0,,,,,,,1749555680.599
381,ETH-253443454,1749556821313,3,0.0115,0.011673,76.73,ETH-25JUL25-2000-P,2776.4,buy,1.0,1.0,,,,,,,1749556821.313
382,ETH-253443455,1749556823997,3,0.0115,0.01167,76.72,ETH-25JUL25-2000-P,2776.33,buy,1.0,1.0,,,,,,,1749556823.997
383,ETH-253443458,1749556826779,3,0.0115,0.01167,76.66,ETH-25JUL25-2000-P,2775.37,sell,1.0,1.0,,,,,,,1749556826.779
384,ETH-253444249,1749557195948,0,0.012,0.012097,76.79,ETH-25JUL25-2000-P,2763.02,buy,2.0,2.0,,,,,,,1749557195.948
385,ETH-253447293,1749558244670,1,0.012,0.012015,76.77,ETH-25JUL25-2000-P,2761.88,buy,2.0,2.0,,,,,,,1749558244.67
386,ETH-253447310,1749558256280,1,0.012,0.012029,76.74,ETH-25JUL25-2000-P,2761.48,buy,2.0,2.0,,,,,,,1749558256.28
387,ETH-253467277,1749564870031,0,0.013,0.013088,77.58,ETH-25JUL25-2000-P,2747.07,sell,1.0,1.0,,,,,,,1749564870.031
388,ETH-253473515,1749567064888,1,0.013,0.013319,76.94,ETH-25JUL25-2000-P,2737.74,sell,22.0,22.0,,,,,,,1749567064.888
389,ETH-253473516,1749567064891,1,0.013,0.013319,76.94,ETH-25JUL25-2000-P,2737.74,buy,28.0,28.0,,,,,,,1749567064.891
390,ETH-253557829,1749598369760,2,0.012,0.011947,79.95,ETH-25JUL25-2000-P,2803.62,buy,6.0,6.0,,,,,,,1749598369.76
391,ETH-253570773,1749603683651,3,0.012,0.012068,79.56,ETH-25JUL25-2000-P,2797.71,buy,1.0,1.0,,,,,,,1749603683.651
392,ETH-253608771,1749633141633,2,0.0115,0.011934,76.86,ETH-25JUL25-2000-P,2768.05,sell,2.0,2.0,,,,,,,1749633141.633
393,ETH-253611189,1749634964109,0,0.012,0.012023,77.76,ETH-25JUL25-2000-P,2768.06,buy,1.0,1.0,,,,,,,1749634964.109
394,ETH-253629442,1749645020213,2,0.0115,0.011081,78.59,ETH-25JUL25-2000-P,2793.16,sell,9.0,9.0,,,,,,,1749645020.213
395,ETH-253638248,1749645828115,2,0.011,0.01071,79.41,ETH-25JUL25-2000-P,2820.32,sell,7.0,7.0,,,,,,,1749645828.115
396,ETH-253662535,1749652278172,2,0.0105,0.010342,80.0,ETH-25JUL25-2000-P,2844.72,sell,3.0,3.0,,,,,,,1749652278.172
397,ETH-253675981,1749655827778,2,0.01,0.009916,80.14,ETH-25JUL25-2000-P,2862.6,sell,3.0,3.0,,,,,,,1749655827.778
398,ETH-253703122,1749662976337,2,0.0095,0.00972,79.47,ETH-25JUL25-2000-P,2867.92,sell,3.0,3.0,,,,,,,1749662976.337
399,ETH-253713049,1749665259265,0,0.0109,0.010725,79.15,ETH-25JUL25-2000-P,2816.88,buy,250.0,250.0,,ETH-ICOND-25JUL25-2000_2600_3000_4000,4.0,BLOCK-204683,,,1749665259.265
403,ETH-253724287,1749668860865,1,0.0115,0.010983,80.02,ETH-25JUL25-2000-P,2811.39,buy,5.0,5.0,,,,,,,1749668860.865
401,ETH-253724285,1749668860865,1,0.0115,0.010983,80.02,ETH-25JUL25-2000-P,2811.39,buy,30.0,30.0,,,,,,,1749668860.865
404,ETH-253724288,1749668860865,1,0.0115,0.010983,80.02,ETH-25JUL25-2000-P,2811.39,buy,146.0,146.0,,,,,,,1749668860.865
400,ETH-253724284,1749668860865,0,0.0115,0.010983,80.02,ETH-25JUL25-2000-P,2811.39,buy,286.0,286.0,,,,,,,1749668860.865
402,ETH-253724286,1749668860865,1,0.0115,0.010983,80.02,ETH-25JUL25-2000-P,2811.39,buy,33.0,33.0,,,,,,,1749668860.865
405,ETH-253727404,1749670874566,2,0.011,0.010957,79.39,ETH-25JUL25-2000-P,2816.7,buy,1.0,1.0,,,,,,,1749670874.566
406,ETH-253777547,1749700591702,2,0.0105,0.010973,75.77,ETH-25JUL25-2000-P,2770.83,sell,5.0,5.0,,,,,,,1749700591.702
407,ETH-253780693,1749704025439,0,0.0115,0.011506,77.12,ETH-25JUL25-2000-P,2761.82,sell,2.0,2.0,,,,,,,1749704025.439
408,ETH-253780694,1749704026159,1,0.0115,0.011503,77.12,ETH-25JUL25-2000-P,2761.94,sell,7.0,7.0,,,,,,,1749704026.159
409,ETH-253780860,1749704327540,1,0.0115,0.011682,77.11,ETH-25JUL25-2000-P,2761.8,sell,2.0,2.0,,,,,,,1749704327.54
410,ETH-253780861,1749704327572,1,0.0115,0.011682,77.11,ETH-25JUL25-2000-P,2761.8,sell,2.0,2.0,,,,,,,1749704327.572
411,ETH-253780862,1749704327992,1,0.0115,0.011678,77.11,ETH-25JUL25-2000-P,2761.79,sell,1.0,1.0,,,,,,,1749704327.992
412,ETH-253780875,1749704341588,1,0.0115,0.011662,77.15,ETH-25JUL25-2000-P,2762.46,sell,2.0,2.0,,,,,,,1749704341.588
413,ETH-253780878,1749704343448,1,0.0115,0.011657,77.16,ETH-25JUL25-2000-P,2762.51,sell,2.0,2.0,,,,,,,1749704343.448
414,ETH-253780884,1749704349161,1,0.0115,0.011655,77.17,ETH-25JUL25-2000-P,2762.63,sell,1.0,1.0,,,,,,,1749704349.161
415,ETH-253780892,1749704361283,1,0.0115,0.011658,77.18,ETH-25JUL25-2000-P,2762.78,sell,4.0,4.0,,,,,,,1749704361.283
416,ETH-253780894,1749704361333,1,0.0115,0.011658,77.18,ETH-25JUL25-2000-P,2762.78,sell,2.0,2.0,,,,,,,1749704361.333
417,ETH-253780923,1749704361409,1,0.0115,0.011658,77.18,ETH-25JUL25-2000-P,2762.78,sell,1.0,1.0,,,,,,,1749704361.409
418,ETH-253780950,1749704373665,1,0.0115,0.011662,77.18,ETH-25JUL25-2000-P,2762.84,sell,24.0,24.0,,,,,,,1749704373.665
419,ETH-253783763,1749708064229,1,0.0115,0.011344,77.38,ETH-25JUL25-2000-P,2765.1,buy,1.0,1.0,,,,,,,1749708064.229
420,ETH-253783764,1749708065280,1,0.0115,0.011344,77.39,ETH-25JUL25-2000-P,2765.13,sell,20.0,20.0,,,,,,,1749708065.28
421,ETH-253783765,1749708065338,1,0.0115,0.011344,77.39,ETH-25JUL25-2000-P,2765.13,sell,1.0,1.0,,,,,,,1749708065.338
422,ETH-253783777,1749708136260,0,0.012,0.011531,78.29,ETH-25JUL25-2000-P,2764.82,buy,2.0,2.0,,,,,,,1749708136.26
423,ETH-253783778,1749708136260,1,0.012,0.011531,78.29,ETH-25JUL25-2000-P,2764.82,buy,76.0,76.0,,,,,,,1749708136.26
424,ETH-253783971,1749708448418,2,0.0115,0.011544,77.16,ETH-25JUL25-2000-P,2761.67,buy,1.0,1.0,,,,,,,1749708448.418
425,ETH-253784752,1749709574012,3,0.0115,0.011372,77.12,ETH-25JUL25-2000-P,2760.72,buy,1.0,1.0,,,,,,,1749709574.012
426,ETH-253784753,1749709574012,3,0.0115,0.011372,77.12,ETH-25JUL25-2000-P,2760.72,buy,24.0,24.0,,,,,,,1749709574.012
427,ETH-253784754,1749709584771,3,0.0115,0.011352,77.16,ETH-25JUL25-2000-P,2761.26,buy,20.0,20.0,,,,,,,1749709584.771
428,ETH-253798629,1749716492415,3,0.0115,0.011386,76.54,ETH-25JUL25-2000-P,2753.2,sell,1.0,1.0,,,,,,,1749716492.415
429,ETH-253806314,1749724931013,0,0.012,0.011427,76.93,ETH-25JUL25-2000-P,2743.42,buy,1.0,1.0,,,,,,,1749724931.013
430,ETH-253823754,1749731812976,2,0.011,0.011449,75.08,ETH-25JUL25-2000-P,2742.83,sell,1.0,1.0,,,,,,,1749731812.976
431,ETH-253842666,1749742600956,0,0.0115,0.011368,77.04,ETH-25JUL25-2000-P,2755.85,buy,1.0,1.0,,,,,,,1749742600.956
432,ETH-253866027,1749755013845,1,0.0115,0.011385,75.96,ETH-25JUL25-2000-P,2738.45,buy,1.0,1.0,,,,,,,1749755013.845
433,ETH-253898195,1749761553723,0,0.0145,0.014408,74.37,ETH-25JUL25-2000-P,2642.85,buy,1.0,1.0,,,,,,,1749761553.723
434,ETH-253898767,1749761584255,1,0.0145,0.014496,74.21,ETH-25JUL25-2000-P,2640.6,buy,20.0,20.0,,,,,,,1749761584.255
435,ETH-253899178,1749761617727,0,0.015,0.014783,74.37,ETH-25JUL25-2000-P,2632.22,buy,1.0,1.0,,,,,,,1749761617.727
436,ETH-253899179,1749761617727,1,0.015,0.014783,74.37,ETH-25JUL25-2000-P,2632.22,buy,59.0,59.0,,,,,,,1749761617.727
437,ETH-253899182,1749761617735,1,0.015,0.014783,74.37,ETH-25JUL25-2000-P,2632.22,buy,23.0,23.0,,,,,,,1749761617.735
438,ETH-253933372,1749773157099,0,0.0155,0.0153,74.06,ETH-25JUL25-2000-P,2614.14,buy,1.0,1.0,,,,,,,1749773157.099
439,ETH-253935187,1749773245330,0,0.016,0.015791,74.11,ETH-25JUL25-2000-P,2605.36,buy,1.0,1.0,,,,,,,1749773245.33
440,ETH-253956584,1749773886906,0,0.0185,0.018074,74.08,ETH-25JUL25-2000-P,2560.12,buy,60.0,60.0,,,,,,,1749773886.906
442,ETH-253956587,1749773886928,1,0.0185,0.018074,74.08,ETH-25JUL25-2000-P,2560.12,buy,36.0,36.0,,,,,,,1749773886.928
441,ETH-253956586,1749773886928,1,0.0185,0.018074,74.08,ETH-25JUL25-2000-P,2560.12,buy,1.0,1.0,,,,,,,1749773886.928
443,ETH-253957584,1749773941157,2,0.018,0.0173,74.5,ETH-25JUL25-2000-P,2573.52,buy,60.0,60.0,,,,,,,1749773941.157
444,ETH-253957608,1749773941215,3,0.018,0.017302,74.46,ETH-25JUL25-2000-P,2573.02,buy,60.0,60.0,,,,,,,1749773941.215
445,ETH-253957617,1749773941254,3,0.018,0.017302,74.46,ETH-25JUL25-2000-P,2573.02,buy,60.0,60.0,,,,,,,1749773941.254
446,ETH-253957634,1749773941272,3,0.018,0.017302,74.46,ETH-25JUL25-2000-P,2573.02,buy,60.0,60.0,,,,,,,1749773941.272
447,ETH-253958696,1749774010871,3,0.018,0.017614,74.08,ETH-25JUL25-2000-P,2568.44,buy,22.0,22.0,,,,,,,1749774010.871
448,ETH-253958933,1749774022334,3,0.018,0.017525,74.31,ETH-25JUL25-2000-P,2571.17,buy,25.0,25.0,,,,,,,1749774022.334
449,ETH-253958934,1749774022334,3,0.018,0.017525,74.31,ETH-25JUL25-2000-P,2571.17,buy,35.0,35.0,,,,,,,1749774022.334
450,ETH-253958937,1749774022350,3,0.018,0.017525,74.31,ETH-25JUL25-2000-P,2571.17,buy,25.0,25.0,,,,,,,1749774022.35
451,ETH-253970632,1749774788311,0,0.02,0.019769,73.53,ETH-25JUL25-2000-P,2528.96,buy,1.0,1.0,,,,,,,1749774788.311
452,ETH-253975342,1749774909815,0,0.0205,0.020089,74.3,ETH-25JUL25-2000-P,2529.63,sell,250.0,250.0,,ETH-PDIAG-25JUL25_13JUN25-2000_2450,2.0,BLOCK-204979,,,1749774909.815
453,ETH-253986877,1749775462790,1,0.0205,0.019718,75.28,ETH-25JUL25-2000-P,2540.92,buy,1.0,1.0,,,,,,,1749775462.79
454,ETH-253995303,1749776199295,1,0.0205,0.020775,74.33,ETH-25JUL25-2000-P,2529.14,sell,15.0,15.0,,,,,,,1749776199.295
455,ETH-253999549,1749776656145,0,0.023,0.022693,75.04,ETH-25JUL25-2000-P,2501.03,buy,102.0,102.0,,,,,,,1749776656.145
457,ETH-254019400,1749777235069,1,0.025,0.024661,75.34,ETH-25JUL25-2000-P,2477.19,sell,3.0,3.0,,,,,,,1749777235.069
456,ETH-254019399,1749777235069,0,0.025,0.024661,75.34,ETH-25JUL25-2000-P,2477.19,sell,4.0,4.0,,,,,,,1749777235.069
458,ETH-254019401,1749777235069,1,0.025,0.024661,75.34,ETH-25JUL25-2000-P,2477.19,sell,200.0,200.0,,,,,,,1749777235.069
459,ETH-254022853,1749777365422,2,0.024,0.023896,75.18,ETH-25JUL25-2000-P,2488.52,buy,1.0,1.0,,,,,,,1749777365.422
460,ETH-254022854,1749777365655,3,0.024,0.023896,75.18,ETH-25JUL25-2000-P,2488.52,buy,1.0,1.0,,,,,,,1749777365.655
461,ETH-254036126,1749778750219,3,0.024,0.024207,75.44,ETH-25JUL25-2000-P,2490.73,sell,3.0,3.0,,,,,,,1749778750.219
462,ETH-254036127,1749778750219,3,0.024,0.024207,75.44,ETH-25JUL25-2000-P,2490.73,sell,3.0,3.0,,,,,,,1749778750.219
463,ETH-254036128,1749778750219,3,0.024,0.024207,75.44,ETH-25JUL25-2000-P,2490.73,sell,4.0,4.0,,,,,,,1749778750.219
464,ETH-254036932,1749778843027,0,0.0245,0.024552,75.3,ETH-25JUL25-2000-P,2482.13,buy,50.0,50.0,,,,,,,1749778843.027
465,ETH-254037807,1749778964107,0,0.025,0.024095,76.47,ETH-25JUL25-2000-P,2488.39,buy,196.0,196.0,,,,,,,1749778964.107
466,ETH-254045867,1749780177822,2,0.0245,0.024415,76.12,ETH-25JUL25-2000-P,2491.73,sell,1.0,1.0,,,,,,,1749780177.822
467,ETH-254050189,1749781003170,0,0.025,0.024913,75.91,ETH-25JUL25-2000-P,2482.47,sell,200.0,200.0,,,,,,,1749781003.17
468,ETH-254050191,1749781003303,1,0.025,0.024913,75.91,ETH-25JUL25-2000-P,2482.47,sell,3.0,3.0,,,,,,,1749781003.303
469,ETH-254050192,1749781003370,1,0.025,0.024913,75.91,ETH-25JUL25-2000-P,2482.47,sell,3.0,3.0,,,,,,,1749781003.37
470,ETH-254065999,1749782832200,0,0.026,0.026075,75.26,ETH-25JUL25-2000-P,2461.77,sell,200.0,200.0,,,,,,,1749782832.2
471,ETH-254066000,1749782832200,1,0.026,0.026075,75.26,ETH-25JUL25-2000-P,2461.77,sell,3.0,3.0,,,,,,,1749782832.2
472,ETH-254066001,1749782832200,1,0.026,0.026075,75.26,ETH-25JUL25-2000-P,2461.77,sell,3.0,3.0,,,,,,,1749782832.2
473,ETH-254070844,1749783682822,2,0.0245,0.024317,75.31,ETH-25JUL25-2000-P,2481.57,sell,3.0,3.0,,,,,,,1749783682.822
474,ETH-254072481,1749784011855,2,0.0235,0.023817,74.71,ETH-25JUL25-2000-P,2488.78,sell,1.0,1.0,,,,,,,1749784011.855
475,ETH-254074798,1749784489981,0,0.024,0.02351,76.01,ETH-25JUL25-2000-P,2496.57,buy,20.0,20.0,,,,,,,1749784489.981
476,ETH-254075547,1749784592460,2,0.0235,0.023051,75.99,ETH-25JUL25-2000-P,2502.93,sell,10.0,10.0,,,,,,,1749784592.46
477,ETH-254077371,1749785363234,3,0.0235,0.023337,75.54,ETH-25JUL25-2000-P,2498.29,sell,10.0,10.0,,,,,,,1749785363.234
478,ETH-254080550,1749786825225,2,0.0225,0.022732,75.05,ETH-25JUL25-2000-P,2506.64,buy,50.0,50.0,,,,,,,1749786825.225
479,ETH-254083607,1749787092366,2,0.022,0.022194,75.37,ETH-25JUL25-2000-P,2517.36,buy,50.0,50.0,,,,,,,1749787092.366
480,ETH-254084237,1749787336386,0,0.0225,0.022573,75.3,ETH-25JUL25-2000-P,2509.46,buy,50.0,50.0,,,,,,,1749787336.386
482,ETH-254086606,1749788983854,1,0.0225,0.022467,75.73,ETH-25JUL25-2000-P,2513.95,sell,4.0,4.0,,,,,,,1749788983.854
481,ETH-254086605,1749788983854,1,0.0225,0.022467,75.73,ETH-25JUL25-2000-P,2513.95,sell,3.0,3.0,,,,,,,1749788983.854
483,ETH-254086607,1749788983854,1,0.0225,0.022467,75.73,ETH-25JUL25-2000-P,2513.95,sell,201.0,201.0,,,,,,,1749788983.854
484,ETH-254087320,1749789619565,1,0.0225,0.022204,75.94,ETH-25JUL25-2000-P,2516.28,buy,1.0,1.0,,,,,,,1749789619.565
485,ETH-254087321,1749789619570,1,0.0225,0.022204,75.94,ETH-25JUL25-2000-P,2516.28,sell,4.0,4.0,,,,,,,1749789619.57
486,ETH-254089325,1749791030347,1,0.0225,0.02245,75.54,ETH-25JUL25-2000-P,2511.57,sell,5.0,5.0,,,,,,,1749791030.347
487,ETH-254089441,1749791168158,1,0.0225,0.022491,75.65,ETH-25JUL25-2000-P,2512.53,sell,120.0,120.0,,,,,,,1749791168.158
488,ETH-254089442,1749791168162,1,0.0225,0.022491,75.65,ETH-25JUL25-2000-P,2512.53,sell,1.0,1.0,,,,,,,1749791168.162
489,ETH-254089512,1749791230935,1,0.0225,0.022558,75.59,ETH-25JUL25-2000-P,2511.8,sell,1.0,1.0,,,,,,,1749791230.935
490,ETH-254089516,1749791230984,1,0.0225,0.022558,75.59,ETH-25JUL25-2000-P,2511.8,sell,1.0,1.0,,,,,,,1749791230.984
491,ETH-254089520,1749791231055,1,0.0225,0.022558,75.59,ETH-25JUL25-2000-P,2511.8,sell,1.0,1.0,,,,,,,1749791231.055
492,ETH-254089521,1749791231230,1,0.0225,0.022552,75.61,ETH-25JUL25-2000-P,2512.02,sell,1.0,1.0,,,,,,,1749791231.23
493,ETH-254089563,1749791277466,1,0.0225,0.022534,75.65,ETH-25JUL25-2000-P,2512.52,sell,1.0,1.0,,,,,,,1749791277.466
494,ETH-254089568,1749791279053,1,0.0225,0.022513,75.65,ETH-25JUL25-2000-P,2512.56,sell,1.0,1.0,,,,,,,1749791279.053
495,ETH-254089569,1749791279064,1,0.0225,0.022513,75.65,ETH-25JUL25-2000-P,2512.56,sell,1.0,1.0,,,,,,,1749791279.064
