trade_seq,trade_id,timestamp,tick_direction,price,mark_price,iv,instrument_name,index_price,direction,contracts,amount,liquidation,block_trade_leg_count,block_trade_id,unix_sec
1,ETH-258981931,1753113851444,1,0.0215,0.022106,75.9,ETH-25JUL25-3900-C,3817.88,sell,1.0,1.0,,,,1753113851.444
2,ETH-258981932,1753113852166,1,0.0215,0.022039,76.04,ETH-25JUL25-3900-C,3817.37,sell,19.0,19.0,,,,1753113852.166
3,ETH-258991265,1753115667136,2,0.0195,0.019202,79.16,ETH-25JUL25-3900-C,3785.59,buy,36.0,36.0,,,,1753115667.136
4,ETH-258991311,1753115667191,3,0.0195,0.019202,79.16,ETH-25JUL25-3900-C,3785.59,buy,14.0,14.0,,,,1753115667.191
5,ETH-258991518,1753115675483,0,0.02,0.019681,79.53,ETH-25JUL25-3900-C,3789.36,buy,4.0,4.0,,,,1753115675.483
6,ETH-259006832,1753122099031,2,0.0195,0.019778,77.46,ETH-25JUL25-3900-C,3796.61,sell,1.0,1.0,,,,1753122099.031
7,ETH-259013058,1753124422759,2,0.0145,0.014669,78.02,ETH-25JUL25-3900-C,3737.07,sell,1.0,1.0,,,,1753124422.759
8,ETH-259018483,1753126560403,3,0.0145,0.014624,78.89,ETH-25JUL25-3900-C,3733.96,buy,1.0,1.0,,,,1753126560.403
9,ETH-259024761,1753128558470,0,0.016,0.01602,80.64,ETH-25JUL25-3900-C,3745.12,buy,4.0,4.0,,,,1753128558.47
10,ETH-259030580,1753131851665,1,0.016,0.015942,78.97,ETH-25JUL25-3900-C,3754.86,buy,2.0,2.0,,,,1753131851.665
11,ETH-259030581,1753131851668,1,0.016,0.015942,78.97,ETH-25JUL25-3900-C,3754.86,buy,2.0,2.0,,,,1753131851.668
12,ETH-259030582,1753131851671,1,0.016,0.015942,78.97,ETH-25JUL25-3900-C,3754.86,buy,2.0,2.0,,,,1753131851.671
13,ETH-259030976,1753132395776,1,0.016,0.015762,79.4,ETH-25JUL25-3900-C,3753.74,buy,1.0,1.0,,,,1753132395.776
14,ETH-259034427,1753137386934,1,0.016,0.016742,75.24,ETH-25JUL25-3900-C,3773.84,sell,20.0,20.0,,,,1753137386.934
16,ETH-259036417,1753141020840,1,0.017,0.016674,77.83,ETH-25JUL25-3900-C,3776.6,buy,32.0,32.0,,,,1753141020.84
15,ETH-259036416,1753141020840,0,0.017,0.016674,77.83,ETH-25JUL25-3900-C,3776.6,buy,8.0,8.0,,,,1753141020.84
17,ETH-259036418,1753141020847,1,0.017,0.016674,77.83,ETH-25JUL25-3900-C,3776.6,sell,8.0,8.0,,,,1753141020.847
18,ETH-259036419,1753141020849,1,0.017,0.016674,77.83,ETH-25JUL25-3900-C,3776.6,sell,1.0,1.0,,,,1753141020.849
19,ETH-259036420,1753141020868,1,0.017,0.016674,77.83,ETH-25JUL25-3900-C,3776.6,sell,1.0,1.0,,,,1753141020.868
20,ETH-259043806,1753146516676,2,0.012,0.01213,75.86,ETH-25JUL25-3900-C,3726.82,sell,2.0,2.0,,,,1753146516.676
21,ETH-259050024,1753148431869,0,0.0145,0.014414,75.93,ETH-25JUL25-3900-C,3759.94,buy,1.0,1.0,,,,1753148431.869
22,ETH-259053941,1753149503740,0,0.0175,0.017824,76.19,ETH-25JUL25-3900-C,3792.6,sell,20.0,20.0,,,,1753149503.74
23,ETH-259056187,1753151639233,2,0.017,0.016961,77.0,ETH-25JUL25-3900-C,3785.55,buy,4.0,4.0,,,,1753151639.233
24,ETH-259056188,1753151639233,3,0.017,0.016961,77.0,ETH-25JUL25-3900-C,3785.55,buy,77.0,77.0,,,,1753151639.233
25,ETH-259063112,1753156191166,2,0.012,0.012026,77.81,ETH-25JUL25-3900-C,3723.84,buy,42.0,42.0,,,,1753156191.166
26,ETH-259063115,1753156191175,3,0.012,0.012026,77.81,ETH-25JUL25-3900-C,3723.84,buy,8.0,8.0,,,,1753156191.175
27,ETH-259063290,1753156353608,3,0.012,0.012357,76.54,ETH-25JUL25-3900-C,3729.35,sell,1.0,1.0,,,,1753156353.608
28,ETH-259064119,1753157441543,0,0.0125,0.012494,77.84,ETH-25JUL25-3900-C,3731.52,buy,60.0,60.0,,,,1753157441.543
29,ETH-259064120,1753157441548,1,0.0125,0.012494,77.84,ETH-25JUL25-3900-C,3731.52,buy,32.0,32.0,,,,1753157441.548
30,ETH-259067409,1753159336347,2,0.01,0.009888,78.42,ETH-25JUL25-3900-C,3694.86,sell,30.0,30.0,,,,1753159336.347
31,ETH-259068880,1753159510847,3,0.01,0.009697,79.03,ETH-25JUL25-3900-C,3691.74,buy,11.0,11.0,,,,1753159510.847
32,ETH-259068909,1753159517898,3,0.01,0.009953,78.43,ETH-25JUL25-3900-C,3694.39,buy,19.0,19.0,,,,1753159517.898
33,ETH-259068910,1753159517898,3,0.01,0.009953,78.43,ETH-25JUL25-3900-C,3694.39,buy,2.0,2.0,,,,1753159517.898
34,ETH-259070038,1753159986687,2,0.009,0.009531,77.02,ETH-25JUL25-3900-C,3684.93,sell,50.0,50.0,,,,1753159986.687
36,ETH-259071130,1753160217020,3,0.0085,0.0091,76.83,ETH-25JUL25-3900-C,3677.13,sell,150.0,150.0,,,,1753160217.02
35,ETH-259071129,1753160217020,2,0.0085,0.0091,76.83,ETH-25JUL25-3900-C,3677.13,sell,150.0,150.0,,,,1753160217.02
37,ETH-259073935,1753160559931,3,0.0085,0.008601,78.68,ETH-25JUL25-3900-C,3668.02,buy,2.0,2.0,,,,1753160559.931
41,ETH-259077350,1753161346798,1,0.009,0.009581,76.18,ETH-25JUL25-3900-C,3689.28,sell,73.0,73.0,,,,1753161346.798
38,ETH-259077347,1753161346798,0,0.009,0.009581,76.18,ETH-25JUL25-3900-C,3689.28,sell,475.0,475.0,,,,1753161346.798
40,ETH-259077349,1753161346798,1,0.009,0.009581,76.18,ETH-25JUL25-3900-C,3689.28,sell,100.0,100.0,,,,1753161346.798
39,ETH-259077348,1753161346798,1,0.009,0.009581,76.18,ETH-25JUL25-3900-C,3689.28,sell,102.0,102.0,,,,1753161346.798
42,ETH-259077977,1753161596328,0,0.01,0.009736,78.39,ETH-25JUL25-3900-C,3695.16,buy,50.0,50.0,,,,1753161596.328
43,ETH-259079787,1753162614139,2,0.0095,0.009557,77.27,ETH-25JUL25-3900-C,3692.57,buy,12.0,12.0,,,,1753162614.139
44,ETH-259081653,1753163478741,2,0.0085,0.008773,76.34,ETH-25JUL25-3900-C,3680.48,sell,50.0,50.0,,,,1753163478.741
45,ETH-259083087,1753164028923,0,0.009,0.009292,76.56,ETH-25JUL25-3900-C,3688.7,sell,5.0,5.0,,,,1753164028.923
46,ETH-259083253,1753164081699,1,0.009,0.009119,77.35,ETH-25JUL25-3900-C,3685.14,sell,11.0,11.0,,,,1753164081.699
47,ETH-259083254,1753164081715,1,0.009,0.009119,77.35,ETH-25JUL25-3900-C,3685.14,sell,2.0,2.0,,,,1753164081.715
48,ETH-259083255,1753164081725,1,0.009,0.009119,77.35,ETH-25JUL25-3900-C,3685.14,sell,1.0,1.0,,,,1753164081.725
49,ETH-259083258,1753164081737,1,0.009,0.009116,77.41,ETH-25JUL25-3900-C,3684.86,sell,1.0,1.0,,,,1753164081.737
50,ETH-259084451,1753164816218,0,0.01,0.010199,76.92,ETH-25JUL25-3900-C,3703.23,buy,2.0,2.0,,,,1753164816.218
