"Date (UTC)","Timestamp (UTC)","↑ 200k","↑ 150k","↑ 140k","↑ 130k","↑ 125k","↑ 115k","↑ 120k","↑ 110k","↓ 105k","↓ 100k","↓ 95k","↓ 90k","↓ 60k"
"06-30-2025 18:00","1751306407","","0.021","","","","0.49","0.245","0.84","","0.505","0.205","0.095","0.03"
"06-30-2025 19:00","1751310007","","0.021","","","","0.48","0.255","0.815","","0.5","0.25","0.12","0.0215"
"06-30-2025 20:00","1751313607","","0.019","","","","0.525","0.27","0.83","","0.47","0.24","0.135","0.0215"
"06-30-2025 21:00","1751317207","","0.022","","","","0.51","0.265","0.83","","0.475","0.255","0.14","0.0165"
"06-30-2025 22:00","1751320807","","0.0205","","","","0.47","0.26","0.81","","0.495","0.265","0.165","0.0165"
"06-30-2025 23:00","1751324407","","0.0285","","","","0.465","0.27","0.81","","0.515","0.265","0.155","0.021"
"07-01-2025 00:00","1751328008","","0.025","","","","0.465","0.27","0.805","","0.505","0.265","0.155","0.021"
"07-01-2025 01:00","1751331607","","0.0235","","","","0.475","0.28","0.815","","0.5","0.26","0.15","0.016"
"07-01-2025 02:00","1751335207","","0.019","","","","0.475","0.245","0.815","","0.495","0.26","0.155","0.016"
"07-01-2025 03:00","1751338808","","0.0175","","","","0.465","0.245","0.815","","0.525","0.26","0.145","0.016"
"07-01-2025 04:00","1751342407","","0.0185","","","","0.46","0.25","0.81","","0.525","0.235","0.145","0.0095"
"07-01-2025 05:00","1751346007","","0.0175","","","","0.46","0.245","0.775","","0.52","0.235","0.12","0.0085"
"07-01-2025 06:00","1751349607","","0.0185","","","","0.46","0.235","0.775","","0.52","0.245","0.12","0.0075"
"07-01-2025 07:00","1751353207","","0.022","","","","0.455","0.225","0.775","","0.515","0.245","0.12","0.0095"
"07-01-2025 08:00","1751356807","","0.018","","","","0.465","0.22","0.77","","0.515","0.235","0.115","0.0055"
"07-01-2025 09:00","1751360406","","0.0205","","","","0.455","0.215","0.76","","0.545","0.255","0.115","0.0055"
"07-01-2025 10:00","1751364007","","0.0175","","","","0.455","0.215","0.75","","0.555","0.27","0.11","0.0145"
"07-01-2025 11:00","1751367607","","0.0155","","","","0.45","0.195","0.735","","0.575","0.27","0.115","0.0075"
"07-01-2025 12:00","1751371207","","0.0155","","","","0.46","0.205","0.75","","0.56","0.27","0.12","0.008"
"07-01-2025 13:00","1751374806","","0.0155","","","","0.44","0.205","0.735","","0.565","0.275","0.115","0.0085"
"07-01-2025 14:00","1751378407","","0.0075","","","","0.455","0.205","0.75","","0.56","0.245","0.115","0.0075"
"07-01-2025 15:00","1751382007","0.015","0.0105","","0.03","","0.41","0.205","0.705","","0.6","0.255","0.125","0.0075"
"07-01-2025 16:00","1751385606","0.0095","0.011","","0.0385","","0.415","0.205","0.72","","0.6","0.255","0.12","0.0075"
"07-01-2025 17:00","1751389207","0.0075","0.012","","0.0555","","0.43","0.22","0.73","","0.56","0.27","0.115","0.0075"
"07-01-2025 18:00","1751392807","0.005","0.011","","0.061","","0.45","0.225","0.745","","0.555","0.245","0.135","0.0075"
"07-01-2025 19:00","1751396407","0.0045","0.0135","","0.0425","","0.43","0.215","0.725","","0.575","0.265","0.13","0.0075"
"07-01-2025 20:00","1751400008","0.0045","0.0135","","0.046","","0.41","0.205","0.7","","0.605","0.275","0.14","0.0075"
"07-01-2025 21:00","1751403608","0.0045","0.014","","0.047","","0.43","0.21","0.73","","0.57","0.265","0.135","0.0075"
"07-01-2025 22:00","1751407208","0.004","0.0135","","0.045","","0.425","0.205","0.73","","0.58","0.265","0.135","0.0075"
"07-01-2025 23:00","1751410808","0.004","0.0135","","0.0385","","0.405","0.195","0.72","","0.59","0.29","0.13","0.0075"
"07-02-2025 00:00","1751414407","0.0035","0.0145","","0.0395","","0.41","0.2","0.715","","0.58","0.295","0.135","0.0075"
"07-02-2025 01:00","1751418008","0.004","0.014","","0.0375","","0.395","0.205","0.69","","0.6","0.29","0.14","0.008"
"07-02-2025 02:00","1751421607","0.004","0.014","","0.0385","","0.405","0.2","0.71","","0.575","0.285","0.13","0.008"
"07-02-2025 03:00","1751425207","0.004","0.0165","","0.038","","0.41","0.21","0.725","","0.56","0.275","0.13","0.008"
"07-02-2025 04:00","1751428808","0.004","0.0165","","0.038","","0.425","0.215","0.74","","0.545","0.27","0.125","0.008"
"07-02-2025 05:00","1751432408","0.0035","0.0165","","0.038","","0.44","0.215","0.76","","0.53","0.27","0.12","0.008"
"07-02-2025 06:00","1751436007","0.0035","0.0155","","0.0385","","0.455","0.23","0.775","","0.525","0.25","0.115","0.0075"
"07-02-2025 07:00","1751439607","0.0025","0.015","","0.0375","","0.465","0.235","0.795","","0.505","0.245","0.11","0.0075"
"07-02-2025 08:00","1751443207","0.0025","0.014","","0.0385","","0.47","0.235","0.795","","0.485","0.24","0.1","0.0075"
"07-02-2025 09:00","1751446807","0.0025","0.0135","","0.039","","0.505","0.245","0.83","","0.465","0.225","0.095","0.0075"
"07-02-2025 10:00","1751450408","0.0025","0.016","","0.0395","","0.495","0.255","0.82","","0.47","0.225","0.095","0.0075"
"07-02-2025 11:00","1751454007","0.0025","0.0145","","0.0355","","0.5","0.255","0.825","","0.465","0.22","0.095","0.0075"
"07-02-2025 12:00","1751457607","0.0025","0.014","","0.0395","","0.49","0.255","0.815","","0.47","0.23","0.095","0.0075"
"07-02-2025 13:00","1751461207","0.0025","0.014","","0.0345","","0.485","0.25","0.8","","0.475","0.24","0.095","0.0075"
"07-02-2025 14:00","1751464807","0.0025","0.0155","","0.0395","","0.5","0.255","0.82","","0.47","0.22","0.095","0.008"
"07-02-2025 15:00","1751468407","0.0025","0.0155","","0.0465","","0.515","0.275","0.85","","0.45","0.215","0.095","0.0085"
"07-02-2025 16:00","1751472008","0.0025","0.015","","0.0765","","0.575","0.315","0.895","","0.425","0.2","0.095","0.0085"
"07-02-2025 17:00","1751475608","0.0035","0.0255","","0.09","","0.61","0.35","0.945","","0.4","0.195","0.09","0.008"
"07-02-2025 18:00","1751479207","0.0035","0.0205","","0.076","","0.605","0.335","0.925","","0.415","0.195","0.095","0.008"
"07-02-2025 19:00","1751482808","0.0035","0.023","","0.076","","0.61","0.345","0.9445","","0.385","0.195","0.085","0.008"
"07-02-2025 20:00","1751486408","0.0035","0.023","","0.0795","","0.62","0.345","0.962","","0.385","0.185","0.085","0.008"
"07-02-2025 21:00","1751490008","0.0035","0.023","","0.0655","","0.595","0.325","0.93","","0.41","0.195","0.09","0.0085"
"07-02-2025 22:00","1751493607","0.0035","0.0235","","0.0655","","0.6","0.335","0.943","","0.395","0.19","0.09","0.0085"
"07-02-2025 23:00","1751497208","0.0035","0.0235","","0.077","","0.595","0.335","0.929","","0.4","0.19","0.09","0.0085"
"07-03-2025 00:00","1751500808","0.0035","0.0225","","0.0735","","0.565","0.315","0.8965","","0.415","0.195","0.09","0.0085"
"07-03-2025 01:00","1751504408","0.0035","0.0225","","0.084","","0.57","0.32","0.8975","","0.41","0.19","0.09","0.0085"
"07-03-2025 02:00","1751508007","0.0035","0.019","","0.0885","","0.58","0.325","0.902","","0.41","0.195","0.09","0.0085"
"07-03-2025 03:00","1751511607","0.0035","0.0185","","0.084","","0.56","0.3","0.8765","","0.425","0.195","0.095","0.0075"
"07-03-2025 04:00","1751515208","0.0035","0.0185","","0.0845","","0.56","0.3","0.875","","0.43","0.195","0.095","0.0075"
"07-03-2025 05:00","1751518807","0.0035","0.019","","0.085","","0.56","0.31","0.883","","0.42","0.2","0.09","0.0075"
"07-03-2025 06:00","1751522408","0.0035","0.019","","0.0865","","0.6","0.325","0.9225","","0.4","0.195","0.09","0.007"
"07-03-2025 07:00","1751526008","0.0035","0.0175","","0.0825","","0.6","0.34","0.9435","","0.39","0.185","0.085","0.007"
"07-03-2025 08:00","1751529608","0.003","0.0165","","0.083","","0.595","0.33","0.937","","0.395","0.19","0.085","0.007"
"07-03-2025 09:00","1751533207","0.003","0.0175","","0.0815","","0.595","0.335","0.941","","0.385","0.19","0.09","0.0075"
"07-03-2025 10:00","1751536808","0.0035","0.0175","","0.087","","0.64","0.37","0.9995","","0.37","0.18","0.08","0.0075"
"07-03-2025 11:00","1751540408","0.0035","0.018","","0.09","","0.625","0.36","0.9995","","0.38","0.18","0.08","0.0075"
"07-03-2025 12:00","1751544008","0.0035","0.0175","","0.0865","","0.615","0.35","","","0.385","0.185","0.08","0.007"
"07-03-2025 13:00","1751547607","0.0035","0.0175","","0.0865","","0.57","0.32","","","0.4","0.2","0.09","0.007"
"07-03-2025 14:00","1751551207","0.0045","0.023","","0.0925","","0.635","0.37","","","0.34","0.175","0.075","0.0075"
"07-03-2025 15:00","1751554808","0.0045","0.0205","","0.079","","0.605","0.33","","","0.37","0.185","0.075","0.007"
"07-03-2025 16:00","1751558407","0.006","0.0185","","0.074","","0.59","0.305","","","0.375","0.195","0.085","0.0075"
"07-03-2025 17:00","1751562008","0.0055","0.019","","0.076","","0.585","0.305","","","0.37","0.19","0.085","0.0075"
"07-03-2025 18:00","1751565608","0.006","0.019","","0.0765","","0.595","0.31","","","0.35","0.18","0.08","0.007"
"07-03-2025 19:00","1751569207","0.0055","0.019","","0.0725","","0.6","0.31","","","0.345","0.18","0.075","0.007"
"07-03-2025 20:00","1751572809","0.006","0.0195","","0.078","","0.615","0.325","","","0.335","0.17","0.075","0.0075"
"07-03-2025 21:00","1751576408","0.006","0.02","","0.081","","0.615","0.315","","","0.335","0.165","0.075","0.008"
"07-03-2025 22:00","1751580008","0.006","0.02","","0.0845","","0.615","0.315","","","0.34","0.165","0.075","0.008"
"07-03-2025 23:00","1751583607","0.006","0.0195","","0.0845","","0.615","0.31","","","0.34","0.175","0.075","0.008"
"07-04-2025 00:00","1751587208","0.006","0.0195","","0.084","","0.615","0.305","","","0.34","0.17","0.075","0.008"
"07-04-2025 01:00","1751590808","0.0055","0.019","","0.0825","","0.615","0.295","","","0.34","0.165","0.075","0.008"
"07-04-2025 02:00","1751594407","0.0055","0.019","","0.082","","0.615","0.295","","","0.34","0.165","0.075","0.008"
"07-04-2025 03:00","1751598008","0.005","0.0185","","0.0795","","0.59","0.29","","","0.355","0.17","0.075","0.0075"
"07-04-2025 04:00","1751601608","0.005","0.0175","","0.0795","","0.59","0.315","","","0.355","0.16","0.075","0.0075"
"07-04-2025 05:00","1751605207","0.0045","0.0175","","0.08","","0.58","0.295","","","0.365","0.165","0.075","0.0075"
"07-04-2025 06:00","1751608807","0.0045","0.0175","","0.0795","","0.58","0.3","","","0.365","0.165","0.075","0.0075"
"07-04-2025 07:00","1751612407","0.0045","0.0175","","0.0705","","0.58","0.305","","","0.365","0.165","0.075","0.0075"
"07-04-2025 08:00","1751616007","0.0045","0.0175","","0.0675","","0.565","0.29","","","0.38","0.175","0.075","0.0075"
"07-04-2025 09:00","1751619607","0.0045","0.018","","0.0665","","0.57","0.285","","","0.37","0.175","0.075","0.0075"
"07-04-2025 10:00","1751623207","0.0045","0.0175","","0.0665","","0.58","0.295","","","0.345","0.17","0.07","0.0075"
"07-04-2025 11:00","1751626807","0.0045","0.0175","","0.066","","0.57","0.285","","","0.345","0.17","0.075","0.0075"
"07-04-2025 12:00","1751630407","0.0045","0.0175","","0.068","","0.565","0.285","","","0.345","0.165","0.07","0.0085"
"07-04-2025 13:00","1751634008","0.0035","0.0175","","0.0665","","0.555","0.275","","","0.355","0.17","0.07","0.0085"
"07-04-2025 14:00","1751637608","0.0035","0.0175","","0.064","","0.5","0.25","","","0.4","0.185","0.075","0.0085"
"07-04-2025 15:00","1751641208","0.0035","0.0165","","0.0665","","0.49","0.255","","","0.425","0.2","0.085","0.0085"
"07-04-2025 16:00","1751644807","0.0035","0.0155","","0.0605","","0.48","0.235","","","0.435","0.205","0.09","0.0095"
"07-04-2025 17:00","1751648409","0.0035","0.016","","0.062","","0.48","0.245","","","0.445","0.205","0.095","0.0095"
"07-04-2025 18:00","1751652008","0.0035","0.0165","","0.063","","0.5","0.25","","","0.43","0.22","0.1","0.0095"
"07-04-2025 19:00","1751655608","0.0035","0.016","","0.0625","","0.475","0.245","","","0.45","0.23","0.1","0.009"
"07-04-2025 20:00","1751659208","0.0035","0.016","","0.0625","","0.475","0.235","","","0.465","0.235","0.11","0.009"
"07-04-2025 21:00","1751662807","0.0035","0.016","","0.0665","","0.5","0.26","","","0.45","0.235","0.11","0.009"
"07-04-2025 22:00","1751666408","0.004","0.0165","","0.0665","","0.51","0.265","","","0.435","0.235","0.11","0.009"
"07-04-2025 23:00","1751670008","0.004","0.016","","0.0655","","0.525","0.265","","","0.43","0.21","0.1","0.0085"
"07-05-2025 00:00","1751673608","0.004","0.016","","0.0665","","0.525","0.26","","","0.43","0.215","0.1","0.0085"
"07-05-2025 01:00","1751677208","0.0035","0.0155","","0.0675","","0.53","0.26","","","0.43","0.21","0.09","0.008"
"07-05-2025 02:00","1751680808","0.0035","0.015","","0.0665","","0.51","0.26","","","0.435","0.21","0.09","0.008"
"07-05-2025 03:00","1751684407","0.0035","0.015","","0.0665","","0.515","0.26","","","0.43","0.215","0.095","0.008"
"07-05-2025 04:00","1751688008","0.0035","0.015","","0.067","","0.52","0.26","","","0.42","0.195","0.095","0.008"
"07-05-2025 05:00","1751691608","0.004","0.0155","","0.067","","0.52","0.265","","","0.415","0.2","0.095","0.009"
"07-05-2025 06:00","1751695208","0.0035","0.015","","0.0655","","0.52","0.255","","","0.42","0.2","0.095","0.009"
"07-05-2025 07:00","1751698808","0.0035","0.0145","","0.065","","0.535","0.26","","","0.41","0.2","0.09","0.009"
