trade_id,strike,market,side,entry_time,exit_time,entry_prob,exit_prob,size,pnl,capital,exit_reason,capital_after_trade,capital_at_trade_entry_snapshot,in_cooldown,cooldown_reason
1,85000.0,BTC_may,long,2025-05-01 00:00:00+00:00,2025-05-01 03:00:00+00:00,0.32,0.405,382.9074335433236,32.54713185118251,10048.780839989433,convergence,10032.547131851183,10000.0,False,
2,100000.0,BTC_may,short,2025-05-01 01:00:00+00:00,2025-05-01 02:00:00+00:00,0.695,0.645,324.67416276501973,16.233708138250964,10016.23370813825,convergence,10048.780839989433,10032.547131851183,False,
3,90000.0,BTC_may,short,2025-05-01 02:00:00+00:00,2025-05-01 03:00:00+00:00,0.71,0.685,306.42170927948496,7.660542731987097,10056.44138272142,convergence,10056.44138272142,10048.780839989433,False,
4,105000.0,BTC_may,long,2025-05-01 03:00:00+00:00,2025-05-01 06:00:00+00:00,0.35,0.39,245.3071197532627,9.812284790130517,10066.25366751155,convergence,10066.25366751155,10056.44138272142,False,
5,90000.0,BTC_may,short,2025-05-01 04:00:00+00:00,2025-05-01 06:00:00+00:00,0.695,0.665,229.34607697480604,6.880382309244162,10073.134049820794,convergence,10073.134049820794,10066.25366751155,False,
6,100000.0,BTC_may,short,2025-05-01 06:00:00+00:00,2025-05-01 07:00:00+00:00,0.695,0.675,237.45567433753644,4.749113486750707,10077.883163307544,convergence,10077.883163307544,10073.134049820794,False,
7,85000.0,BTC_may,short,2025-05-01 07:00:00+00:00,2025-05-01 11:00:00+00:00,0.405,0.355,255.53167482990008,12.776583741495015,10090.65974704904,convergence,10090.65974704904,10077.883163307544,False,
8,90000.0,BTC_may,short,2025-05-01 09:00:00+00:00,2025-05-02 13:00:00+00:00,0.675,0.555,357.05374868358183,42.84644984202982,10145.649406665418,convergence,10133.506196891069,10090.65974704904,False,
9,110000.0,BTC_may,long,2025-05-01 11:00:00+00:00,2025-05-01 13:00:00+00:00,0.25,0.255,224.24987596440673,1.1212493798220347,10091.78099642886,convergence,10134.62744627089,10133.506196891069,False,
10,100000.0,BTC_may,short,2025-05-01 13:00:00+00:00,2025-05-01 15:00:00+00:00,0.775,0.8,302.0547233833776,-7.551368084584447,10084.229628344276,convergence,10127.076078186305,10134.62744627089,False,
11,115000.0,BTC_may,long,2025-05-01 15:00:00+00:00,2025-05-01 16:00:00+00:00,0.145,0.175,275.4074179153324,8.262222537459973,10092.491850881735,convergence,10135.338300723764,10127.076078186305,False,
12,85000.0,BTC_may,short,2025-05-02 00:00:00+00:00,2025-05-02 01:00:00+00:00,0.33,0.31,230.53554600446077,4.610710920089219,10097.102561801825,convergence,10139.949011643854,10135.338300723764,False,
13,110000.0,BTC_may,long,2025-05-02 03:00:00+00:00,2025-05-02 05:00:00+00:00,0.29,0.3,226.92119268297358,2.2692119268297377,10099.371773728655,convergence,10142.218223570684,10139.949011643854,False,
14,115000.0,BTC_may,long,2025-05-02 08:00:00+00:00,2025-05-02 09:00:00+00:00,0.165,0.18,228.7455396489305,3.4311830947339543,10102.802956823389,convergence,10145.649406665418,10142.218223570684,False,
15,100000.0,BTC_may,short,2025-05-02 13:00:00+00:00,2025-05-02 15:00:00+00:00,0.825,0.84,260.4703315268324,-3.9070549729024897,10141.742351692516,convergence,10141.742351692516,10145.649406665418,False,
16,115000.0,BTC_may,long,2025-05-02 14:00:00+00:00,2025-05-02 15:00:00+00:00,0.17,0.175,254.14796044491723,1.2707398022245802,10143.01309149474,convergence,10143.01309149474,10141.742351692516,False,
17,90000.0,BTC_may,short,2025-05-02 17:00:00+00:00,2025-05-02 18:00:00+00:00,0.525,0.52,227.57256758729795,1.1378628379364908,10144.150954332677,convergence,10144.150954332677,10143.01309149474,False,
18,100000.0,BTC_may,short,2025-05-02 19:00:00+00:00,2025-05-02 20:00:00+00:00,0.825,0.795,239.3619023721186,7.180857071163538,10151.331811403841,convergence,10151.331811403841,10144.150954332677,False,
19,90000.0,BTC_may,short,2025-05-02 23:00:00+00:00,2025-05-03 01:00:00+00:00,0.56,0.56,304.08247232818326,-0.0,10151.331811403841,convergence,10151.331811403841,10151.331811403841,False,
20,90000.0,BTC_may,short,2025-05-03 12:00:00+00:00,2025-05-03 23:00:00+00:00,0.6,0.585,312.6453620293441,4.689680430440165,10156.02149183428,convergence,10156.02149183428,10151.331811403841,False,
21,110000.0,BTC_may,long,2025-05-03 19:00:00+00:00,2025-05-03 23:00:00+00:00,0.23,0.23,237.89052360547439,0.0,10156.02149183428,convergence,10156.02149183428,10156.02149183428,False,
22,100000.0,BTC_may,short,2025-05-03 23:00:00+00:00,2025-05-04 00:00:00+00:00,0.74,0.725,221.27685795651337,3.3191528693477035,10159.340644703629,convergence,10159.340644703629,10156.02149183428,False,
23,90000.0,BTC_may,short,2025-05-04 00:00:00+00:00,2025-05-04 03:00:00+00:00,0.6,0.6,248.03075090489824,-0.0,10159.340644703629,convergence,10159.340644703629,10159.340644703629,False,
24,110000.0,BTC_may,long,2025-05-04 01:00:00+00:00,2025-05-04 08:00:00+00:00,0.22,0.22,242.87799949668994,0.0,10159.340644703629,convergence,10159.340644703629,10159.340644703629,False,
25,90000.0,BTC_may,short,2025-05-04 05:00:00+00:00,2025-05-04 22:00:00+00:00,0.605,0.63,294.04434140216415,-7.35110853505411,10151.989536168574,convergence,10151.989536168574,10159.340644703629,False,
26,115000.0,BTC_may,long,2025-05-04 11:00:00+00:00,2025-05-04 22:00:00+00:00,0.095,0.105,223.94472822827348,2.239447282282734,10154.228983450857,convergence,10154.228983450857,10151.989536168574,False,
27,100000.0,BTC_may,short,2025-05-04 22:00:00+00:00,2025-05-05 00:00:00+00:00,0.69,0.61,223.15305363919043,17.852244291135225,10172.081227741992,convergence,10172.081227741992,10154.228983450857,False,
28,105000.0,BTC_may,long,2025-05-05 00:00:00+00:00,2025-05-05 01:00:00+00:00,0.34,0.365,256.6222250214575,6.415555625536429,10178.49678336753,convergence,10178.49678336753,10172.081227741992,False,
29,100000.0,BTC_may,short,2025-05-05 01:00:00+00:00,2025-05-05 02:00:00+00:00,0.635,0.59,329.55545360935156,14.829995412420834,10193.32677877995,convergence,10193.32677877995,10178.49678336753,False,
30,90000.0,BTC_may,short,2025-05-05 02:00:00+00:00,2025-05-05 03:00:00+00:00,0.715,0.7,232.60941060341568,3.4891411590512384,10196.815919939001,convergence,10196.815919939001,10193.32677877995,False,
31,115000.0,BTC_may,long,2025-05-05 04:00:00+00:00,2025-05-05 19:00:00+00:00,0.08,0.085,249.25837504265908,1.2462918752132965,10207.182575697052,convergence,10198.062211814215,10196.815919939001,False,
32,90000.0,BTC_may,short,2025-05-05 05:00:00+00:00,2025-05-05 10:00:00+00:00,0.695,0.695,303.8138779340265,-0.0,10196.815919939001,convergence,10198.062211814215,10198.062211814215,False,
33,100000.0,BTC_may,short,2025-05-05 10:00:00+00:00,2025-05-05 11:00:00+00:00,0.63,0.605,233.4814284332693,5.837035710831738,10202.652955649834,convergence,10203.899247525047,10198.062211814215,False,
34,90000.0,BTC_may,short,2025-05-05 12:00:00+00:00,2025-05-05 14:00:00+00:00,0.725,0.715,328.3328172005261,3.283328172005264,10205.936283821839,convergence,10207.182575697052,10203.899247525047,False,Cooldown started after 5 consecutive losses
35,110000.0,BTC_may,long,2025-05-05 16:00:00+00:00,2025-05-05 19:00:00+00:00,0.155,0.165,222.22129830131567,2.2222129830131587,10209.404788680065,convergence,10209.404788680065,10207.182575697052,False,
36,110000.0,BTC_may,long,2025-05-05 20:00:00+00:00,2025-05-05 23:00:00+00:00,0.155,0.17,236.0252166638713,3.540378249958073,10212.945166930023,convergence,10212.945166930023,10209.404788680065,False,
37,90000.0,BTC_may,short,2025-05-05 21:00:00+00:00,2025-05-05 23:00:00+00:00,0.71,0.65,492.62048715539845,29.55722922932388,10242.502396159347,convergence,10242.502396159347,10212.945166930023,False,
38,110000.0,BTC_may,long,2025-05-06 00:00:00+00:00,2025-05-06 10:00:00+00:00,0.155,0.145,243.91474981350635,-2.439147498135066,10244.908455636423,convergence,10240.063248661212,10242.502396159347,False,
39,115000.0,BTC_may,long,2025-05-06 03:00:00+00:00,2025-05-06 07:00:00+00:00,0.065,0.085,242.26034876055175,4.845206975211036,10247.347603134558,convergence,10244.908455636423,10240.063248661212,False,
40,110000.0,BTC_may,long,2025-05-06 12:00:00+00:00,2025-05-06 16:00:00+00:00,0.13,0.165,238.02284339176543,8.33079951871179,10253.239255155135,convergence,10253.239255155135,10244.908455636423,False,
41,90000.0,BTC_may,short,2025-05-06 14:00:00+00:00,2025-05-06 16:00:00+00:00,0.735,0.665,407.7703304560809,28.54392313192564,10281.78317828706,convergence,10281.78317828706,10253.239255155135,False,
42,100000.0,BTC_may,short,2025-05-06 16:00:00+00:00,2025-05-06 17:00:00+00:00,0.615,0.595,227.125652920075,4.542513058401504,10286.32569134546,convergence,10286.32569134546,10281.78317828706,False,
43,90000.0,BTC_may,short,2025-05-06 17:00:00+00:00,2025-05-06 20:00:00+00:00,0.685,0.64,293.64354445986066,13.213959500693742,10299.539650846154,convergence,10299.539650846154,10286.32569134546,False,
44,115000.0,BTC_may,long,2025-05-06 18:00:00+00:00,2025-05-07 00:00:00+00:00,0.075,0.125,264.41097080272493,13.220548540136248,10318.013741174698,take_profit,10312.76019938629,10299.539650846154,False,
45,100000.0,BTC_may,short,2025-05-06 20:00:00+00:00,2025-05-06 21:00:00+00:00,0.65,0.63,262.677089420433,5.253541788408665,10304.793192634563,convergence,10318.013741174698,10312.76019938629,False,
46,110000.0,BTC_may,long,2025-05-06 21:00:00+00:00,2025-05-07 01:00:00+00:00,0.15,0.245,265.30691741443997,25.204157154371796,10343.21789832907,take_profit,10343.21789832907,10318.013741174698,False,
47,105000.0,BTC_may,long,2025-05-07 00:00:00+00:00,2025-05-07 01:00:00+00:00,0.445,0.475,307.17503699632584,9.215251109889767,10352.43314943896,convergence,10352.43314943896,10343.21789832907,False,
48,110000.0,BTC_may,long,2025-05-07 01:00:00+00:00,2025-05-07 02:00:00+00:00,0.245,0.255,245.9207332965168,2.4592073329651702,10354.892356771927,convergence,10354.892356771927,10352.43314943896,False,
49,100000.0,BTC_may,short,2025-05-07 02:00:00+00:00,2025-05-07 03:00:00+00:00,0.805,0.765,325.36842998099576,13.014737199239843,10367.907093971167,convergence,10367.907093971167,10354.892356771927,False,
50,110000.0,BTC_may,long,2025-05-07 03:00:00+00:00,2025-05-08 13:00:00+00:00,0.22,0.305,237.13616623252062,20.156574129764252,10461.059452703148,convergence,10388.063668100931,10367.907093971167,False,
51,115000.0,BTC_may,long,2025-05-07 04:00:00+00:00,2025-05-07 17:00:00+00:00,0.105,0.11,241.51812476491097,1.207590623824556,10369.114684594992,convergence,10389.271258724755,10388.063668100931,False,
52,100000.0,BTC_may,short,2025-05-07 17:00:00+00:00,2025-05-07 18:00:00+00:00,0.765,0.735,306.3918944584359,9.191756833753086,10378.306441428746,convergence,10398.46301555851,10389.271258724755,False,
53,90000.0,BTC_may,short,2025-05-07 18:00:00+00:00,2025-05-07 19:00:00+00:00,0.545,0.535,331.90867240598476,3.3190867240598507,10381.625528152805,convergence,10401.782102282568,10398.46301555851,False,
